epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,2808.06,0.80163,1.80136,0.64274,1.0925,0.86818,0.77468,0.83211,0.6774,0.86179,0.77024,0.81511,0.54853,0.93783,1.91078,0.79374,1.20915,0.006898,0.006898,0.006898
49,2856.04,0.80509,1.81904,0.64059,1.08658,0.8781,0.72201,0.81075,0.65729,0.87055,0.71875,0.79353,0.54208,0.9749,1.94499,0.88763,1.22019,0.006832,0.006832,0.006832
50,2904.15,0.79461,1.80361,0.63346,1.07843,0.84116,0.73256,0.79312,0.63271,0.83196,0.72685,0.77758,0.52157,0.99177,2.06047,0.97126,1.24835,0.006766,0.006766,0.006766
51,2952.39,0.80328,1.79928,0.63097,1.08559,0.84756,0.75523,0.812,0.66421,0.85374,0.74112,0.7973,0.55116,0.92917,1.9006,0.8638,1.18957,0.0067,0.0067,0.0067
52,3000.4,0.78479,1.76813,0.6233,1.08131,0.89277,0.73172,0.81401,0.65993,0.88702,0.72891,0.80443,0.54972,0.94826,1.88132,0.82949,1.22146,0.006634,0.006634,0.006634
53,3048.39,0.77475,1.72821,0.61502,1.06545,0.85029,0.79004,0.84179,0.69041,0.84485,0.77821,0.82647,0.57577,0.87489,1.80747,0.75685,1.17038,0.006568,0.006568,0.006568
54,3097.09,0.7761,1.74659,0.61371,1.064,0.8767,0.78122,0.83844,0.69063,0.8743,0.77903,0.82865,0.57481,0.90443,1.84534,0.81297,1.20075,0.006502,0.006502,0.006502
55,3145.26,0.76945,1.72747,0.61614,1.06573,0.86709,0.77347,0.83608,0.68564,0.86554,0.76606,0.82934,0.57486,0.90966,1.85785,0.79881,1.18078,0.006436,0.006436,0.006436
56,3193.39,0.77965,1.74281,0.61994,1.06922,0.90975,0.7631,0.84156,0.69643,0.85988,0.78463,0.83181,0.56752,0.89051,1.84024,0.78726,1.1731,0.00637,0.00637,0.00637
57,3241.37,0.76172,1.74874,0.60853,1.05904,0.87014,0.74802,0.81944,0.6616,0.86031,0.74807,0.80467,0.54588,0.93542,1.95102,0.85531,1.21354,0.006304,0.006304,0.006304
58,3291.14,0.7485,1.69566,0.58829,1.05227,0.89827,0.77963,0.85125,0.70026,0.91296,0.76441,0.83448,0.58407,0.8653,1.79738,0.75188,1.14255,0.006238,0.006238,0.006238
59,3338.98,0.75005,1.70278,0.58961,1.05922,0.88425,0.76696,0.83844,0.69381,0.87677,0.76188,0.82456,0.57795,0.85865,1.79661,0.80728,1.1337,0.006172,0.006172,0.006172
60,3387.05,0.74617,1.7126,0.59346,1.05566,0.90008,0.7759,0.83838,0.68433,0.90347,0.76922,0.82528,0.56523,0.92158,1.85423,0.80109,1.18308,0.006106,0.006106,0.006106
